variable,estimate,se,zvalue,pvalue,ci_low,ci_high,oddRatio,name_short,EJ_category,name_long,tool
Low_Vegetative_Cover,0.0472577344341164,0.014466409375185,3.26672176961755,0.00108800553051675,0.0193715103312913,0.0762886804376481,1.04839218102736,Green Space,Climate Change Risks,Low vegetative cover,NY State
MI_Hospitalization_Rate,0.0261502753329433,0.00809918204598058,3.22875509952527,0.00124330316090277,0.0106311553947178,0.0424998599255219,1.02649519379053,Heart Disease,Health,Myocardial infarction hospitalizations,NY State
Mobile_Homes,0.0344941303626947,0.0115723117100832,2.98074673642253,0.0028754649214299,0.0120944080612944,0.057599986360389,1.03509595272046,Mobile Home,Housing Mobility & Communications,Manufactured and mobile homes,NY State
Native_Indigenous,0.0434451049559623,0.00561788210763934,7.73336003204562,1.04744523086049e-14,0.0329266903639838,0.0550254346089056,1.04440266020834,Indigenous Population,Race and Ethnicity,Native American or Indigenous population,NY State
Oil_Storage,0.0385088670014924,0.0132824959213157,2.89921918513023,0.00374093278378781,0.0127218903863886,0.0649354478576051,1.0392599434366,Oil Storage,Land Use and Facility Siting,Proximity to major oil storage facilities,NY State
Particulate_Matter_25,0.0063298502550144,0.013635364152135,0.464223044165879,0.642487952715953,-0.0204131265385209,0.0331932141065737,1.0063499260938,PM2.5,Potential Pollution,PM2.5 air concentration,NY State
Population_No_College,0.0241219140128539,0.0101403456144942,2.37880590365431,0.0173688188308887,0.00453872092130652,0.0444174192454293,1.02441520084594,No Bachelor Degree,Income,Adults without Bachelor degree,NY State
Power_Generation_Facilities,0.0407905235498907,0.00941607198979952,4.33201058722568,1.47753835015396e-05,0.0229197941875943,0.0600379401984796,1.04163388492171,Power Plants,Land Use and Facility Siting,Proximity to power generation facilities,NY State
Premature_Deaths,0.0358427775034008,0.00921611811910934,3.88914042118036,0.00010059990100509,0.0181884114401603,0.0544513914423951,1.03649287368246,Premature Deaths,Health,Premature deaths,NY State
RMP_Sites,0.0623850316717623,0.00991755098711086,6.29036661902114,3.16717079075248e-10,0.0436820842173595,0.0826675377179444,1.06437208280432,RMP Sites,Land Use and Facility Siting,Proximity to risk management plan sites,NY State
Redlining_Updated,0.0195161310155265,0.00717206423028174,2.72113165595002,0.00650588448616867,0.00566496442804513,0.0338796455163909,1.0197078156506,Redlining,Race and Ethnicity,Historical redlining,NY State
Remediation_Sites,0.0465672464205977,0.00790860315674543,5.88817588866871,3.90481424610625e-09,0.0315974687723466,0.0626947387330394,1.04766852865829,Remediation Sites,Land Use and Facility Siting,Proximity to remediation sites,NY State
Rent_Percent_Income,0.0525164760235554,0.00897531428766844,5.85121304283572,4.88000657377829e-09,0.0356038933757343,0.0708897984671389,1.05391992634502,Housing Costs,Housing Mobility & Communications,Rental housing cost burden,NY State
Renter_Percent,0.0575164936989301,0.0141772907783758,4.05694533589296,4.97187128038171e-05,0.0301960454064419,0.0859435071489113,1.05920274068177,Renters,Housing Mobility & Communications,Rented housing units,NY State
Scrap_Metal_Processing,0.0144112402398388,0.0153938288695731,0.936169965376424,0.34918568447082,-0.0178092998204504,0.0432233417483056,1.01451558279515,Scrap Metal Processors,Land Use and Facility Siting,Proximity to scrap metal processing and vehicle dismantlers,NY State
Traffic_Number_Vehicles,0.0489015573701075,0.0122577553178021,3.98943820481446,6.62299700415396e-05,0.0254669868910439,0.0736260504402844,1.05011696937538,Vehicle Traffic,Potential Pollution,Vehicle traffic density,NY State
Traffic_Truck_Highways,0.0759689325036912,0.0120806202217769,6.28849604648174,3.20556230717719e-10,0.0533190782640552,0.100764227379637,1.07892905401219,Diesel Truck /Bus Traffic,Potential Pollution,Diesel trucks and bus traffic,NY State
Unemployment_Rate,0.0380113985508471,0.00705423743980439,5.38844898193577,7.10683303950713e-08,0.0245932067295774,0.0523315992083621,1.03874307297675,Unemployment,Income,Unemployment rate,NY State
Wastewater_Discharge,0.0688250233005283,0.00869778378891171,7.9129379357842,2.51384697899918e-15,0.0526895201301283,0.086893081325318,1.07124874917782,Wastewater Discharge,Potential Pollution,Proximity to wastewater discharge,NY State
